Company_name,Job_Title,Link_of_Job,Location,Time
DevFUM,Junior Data Scientist (Fresh Graduate),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_fa5d2983&cb=1735046388298&jobListingId=1009495320934&jrtk=5-yul1-0-1ifsd5me82dih000-6a90df7d1f3fefe8,Lahore,30d+
Xavor Corporation,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_a967e242&cb=1735046388297&jobListingId=1009522459756&jrtk=5-yul1-0-1ifsd5me82dih000-5f0e82795d3ccdcc,Lahore,30d+
31 Green Ltd,Junior Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_0ef3aaed&cb=1735046388297&jobListingId=1009358656503&jrtk=5-yul1-0-1ifsd5me82dih000-02893d2c4d17b93a,Lahore,17d
Salsoft Technologies (Pvt) Ltd,Data Scraping Experince,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_2acd9955&cb=1735046388299&jobListingId=1009526245674&jrtk=5-yul1-0-1ifsd5me82dih000-15b7390a1229d8b8,Lahore,30d+
enfo.ai,Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_5892b85a&cb=1735046388299&jobListingId=1009574605754&jrtk=5-yul1-0-1ifsd5me82dih000-74e5c1422077f19d,Lahore,2d
CodeAutomation.ai,Data Scientist (Female),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_b5d1f555&cb=1735046388297&jobListingId=1009519095250&jrtk=5-yul1-0-1ifsd5me82dih000-e745fd6ea4774b16,Lahore,30d+
#N/A,#N/A,#N/A,#N/A,Get a list of jobs made just for you.
Digixvalley LLC,Junior AI / ML Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_e2b0bc87&cb=1735046388299&jobListingId=1009525867530&jrtk=5-yul1-0-1ifsd5me82dih000-d91fe44a1db9e6ac,Lahore,30d+
Smart Placement (Pvt) Ltd,Senior Data Scientist ML/AI Engineer (Remote),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_ae668e13&cb=1735046388301&jobListingId=1009565942991&jrtk=5-yul1-0-1ifsd5me82dih000-e23073cf5bf2f402,Lahore,9d
Digixvalley Pvt Ltd,Junior AI / ML Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_41f11ea1&cb=1735046388298&jobListingId=1009525863015&jrtk=5-yul1-0-1ifsd5me82dih000-c2d443c1c61ed699,Lahore,30d+
Bitsclan IT Solutions,Senior Data Scientist /ML Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_cb1df870&cb=1735046388300&jobListingId=1009559420837&jrtk=5-yul1-0-1ifsd5me82dih000-26db0b950685d490,Lahore,14d
Programmers Force,Senior Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_1f938429&cb=1735046388300&jobListingId=1009520168818&jrtk=5-yul1-0-1ifsd5me82dih000-db4be44a815f664f,Lahore,30d+
Smart Placement (Pvt) Ltd,Senior Data Scientist (Remote),https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_e2c4537a&cb=1735046388299&jobListingId=1009442344692&jrtk=5-yul1-0-1ifsd5me82dih000-cd64fecc1d62cc7c,Lahore,30d+
Salsoft Technologies (Pvt) Ltd,Data Scraping Excel Expert Job,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_d11b60ce&cb=1735046388301&jobListingId=1009518796099&jrtk=5-yul1-0-1ifsd5me82dih000-866eec713fc01dce,Lahore,30d+
CureMD Healthcare,Responsible AI Trainee,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&cs=1_7e28f4b3&cb=1735046388295&jobListingId=1009492799116&jrtk=5-yul1-0-1ifsd5me82dih000-bd923150bc2e78b5,Lahore,30d+
InvoByte,Full Stack Developer (Fresh Graduate),https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_ecd5c206&cb=1735046388301&jobListingId=1009542882732&jrtk=5-yul1-0-1ifsd5me82dih000-b3c85bde40a2846a,Lahore,27d
Cogent Labs,AI Researcher,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_7d215ee7&cb=1735046388300&jobListingId=1009571793686&jrtk=5-yul1-0-1ifsd5me82dih000-4971e00b1191fdfe,Lahore,5d
Abaska Technologies,AI Engineer - Data Science & Generative AI Specialist,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_fd4b905b&cb=1735046388300&jobListingId=1009507121229&jrtk=5-yul1-0-1ifsd5me82dih000-b70646d30ba01cef,Lahore,30d+
Paklogics,Python AI/ML,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_7963948c&cb=1735046388300&jobListingId=1009561453672&jrtk=5-yul1-0-1ifsd5me82dih000-5125ef5d4b225db9,Lahore,12d
Matlay,Sr Computer Vision Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=00000193f8d2d8c38825a29fc61a0aaa&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_0f306b1d&cb=1735046388300&jobListingId=1009552269534&jrtk=5-yul1-0-1ifsd5me82dih000-6c39df780c66d2eb,Lahore,20d
