Company_name,Job_Title,Link_of_Job,Location,Time
Noon Academy,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&cs=1_76946931&cb=1734701790080&jobListingId=1009568284184&jrtk=5-yul1-0-1ifi4hcme21cf000-8eb89d33989d3fbd,Lahore,3d
Contour Software,Junior M&A Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&cs=1_4c7d7ac7&cb=1734701790080&jobListingId=1009423289246&jrtk=5-yul1-0-1ifi4hcme21cf000-bd2f52eb0cdba85b,Lahore,30d+
British American Tobacco,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&cs=1_1767b521&cb=1734701790081&jobListingId=1009562705476&jrtk=5-yul1-0-1ifi4hcme21cf000-6fc53af68174078c,Lahore,8d
Tech Bridge Consultancy,Data Analyst & Reporting,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_6480a3d3&cb=1734701790082&jobListingId=1009563609627&jrtk=5-yul1-0-1ifi4hcme21cf000-f8dd5b1b9249d8d7,Lahore,7d
Lelani Telecome,Data scraper Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_6950e396&cb=1734701790083&jobListingId=1009566380744&jrtk=5-yul1-0-1ifi4hcme21cf000-c5ca1a0f71ce3f3b,Lahore,4d
CBA,Data Analyst - Power BI / Jasper Reporting,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_d00b62a4&cb=1734701790083&jobListingId=1009556589271&jrtk=5-yul1-0-1ifi4hcme21cf000-e6552c301f72c337,Lahore,13d
#N/A,#N/A,#N/A,#N/A,Get a list of jobs made just for you.
Confiz,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_bd384043&cb=1734701790085&jobListingId=1009563539899&jrtk=5-yul1-0-1ifi4hcme21cf000-8b79c0dc5250d2f1,Lahore,8d
Dignosco,DATA ANALYST,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&cs=1_4a29e01d&cb=1734701790082&jobListingId=1009438085818&jrtk=5-yul1-0-1ifi4hcme21cf000-4645a79ac83230b5,Lahore,30d+
STN.PK,"Cyber Security, Level 2 Analyst",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_34b22510&cb=1734701790084&jobListingId=1009414152716&cpc=6FC5BA77C9A4CD78&jrtk=5-yul1-0-1ifi4hcme21cf000-9011f3238ad980b9---6NYlbfkN0Cs45oshqPVGOOu8qwrGei1PpIxbTWFUxOmxrI8IVR9ZTpm9Z_c7Trx5lwCojWkKOQu8gkD4hPGwORxoyp1YNslDHIxBbB_aQuxejmHc84XQDnHm_ek1RS6ku9kWnRm9CsJz4OMf8jHG2aJihESENQo8pRdQqRLhLSuO4IqkCN8uoIMpSHiNDNRxFWPZRoxp-5RfcBXtFCCPBfkGjj_zHgM1R0K2emecvbmpTcR5wzVAcQlRrpMM5UVEEr4LvDziDwi6brMEr4-XCo_gdo6Zn5zRXJ9DmLyMF0a5WMwvhriX7fJzt0il-iW36wOouGEFbbqmi6cUz0k4mlAbiIFBVogvSU-KPlcwHFY9QUQtVhxz4bH1i0gt7dEFH40fqEut_n0D947M-tp6NWxOBXkj3hPW7MMuaqp8HVktsdmNV3--fBvkHLq2K-ckY5IiZ8riXRVNsVmuuJDWSX0mzL6qWv8M7KNqJcXakTx5KGh_xjavuF_RaLIs0V8eRz3oigZHo5uiCfLpnG5g0f40vaiUzWW2soYdt_aHU3ZYDmR02AExRRRjnt2uuuPWEwsrWPMHjjycCYpgGlx8MzZeAWc886-2au_eNXvUYbHtzIvYcekNPbqA5diCSmMfRSvbNaAEKtUzXG3HpKIxCmLYZju5f9f9R8etHFssr4IqY8liNvI980AYtU2y3mMzSUKuD9nHlTfwHEGqL_wpAMhr68gJ3Hs4BaDAgoOEciMIHiYYTPkg4IAAfrrBL9c,Lahore,30d+
Mindstorm Studios,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&cs=1_d3945148&cb=1734701790083&jobListingId=1009136873648&jrtk=5-yul1-0-1ifi4hcme21cf000-fac99dfb47407b5d,Lahore,30d+
Nowasys Services,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_02a8fc1d&cb=1734701790084&jobListingId=1009465811900&jrtk=5-yul1-0-1ifi4hcme21cf000-d4fae83d4558d996,Lahore,30d+
Cloudpacer,Junior Business Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_1b98d607&cb=1734701790085&jobListingId=1009527636900&jrtk=5-yul1-0-1ifi4hcme21cf000-d377e2f06784232b,Lahore,30d+
Compass Training and Consultancy Pvt. Ltd.,Data Analyst (Marketing),https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_fd38971d&cb=1734701790084&jobListingId=1009564604048&jrtk=5-yul1-0-1ifi4hcme21cf000-021139d9ff673e42,Lahore,7d
2iQ,Finance Graduates required as Insider Transactions Research Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_0cf67a00&cb=1734701790085&jobListingId=1009573107887&jrtk=5-yul1-0-1ifi4hcme21cf000-91bccb06f8f1445d,Lahore,24h
31 Green Ltd,Junior Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_f08697bb&cb=1734701790085&jobListingId=1009358656503&jrtk=5-yul1-0-1ifi4hcme21cf000-02893d2c4d17b93a,Lahore,13d
AxcelerateAI,Business Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_dff9a3ff&cb=1734701790084&jobListingId=1009568732732&jrtk=5-yul1-0-1ifi4hcme21cf000-682ce4996f8c7447,Lahore,3d
Jerrax,Product Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_f77d7984&cb=1734701790085&jobListingId=1009571746387&jrtk=5-yul1-0-1ifi4hcme21cf000-ad22a7cfe2464b1a,Lahore,24h
Daewoo Pakistan Express Bus Service Ltd,Workshop Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_14280df9&cb=1734701790086&jobListingId=1009563463337&jrtk=5-yul1-0-1ifi4hcme21cf000-4b29898b839441eb,Lahore,8d
Ambition World,Tableau Data Ayalyst,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=00000193e448b1c7aa7ed4c4973b0400&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_916be552&cb=1734701790086&jobListingId=1009543075057&jrtk=5-yul1-0-1ifi4hcme21cf000-c5c76437e6255dff,Lahore,23d
